configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
030333-1-1,[0- 3- 0- 3- 3- 3- 1- 0- 0- 1- 0- 0- 0],[0- 1804800- 0- 1804800- 1804800- 1804800- 652800- 0- 0- 806400- 0- 0- 0],[0- 3- 0- 3- 3- 3- 1- 1],[0- 1804800- 0- 1804800- 1804800- 1804800- 652800- 806400],            66.87351339419763,1945.8952098808634,9.27365e+11,7.21113e-11,0,0
101000-1-2,[1- 0- 1- 0- 0- 0- 1- 0- 0- 2- 0- 0- 0],[576000- 0- 576000- 0- 0- 0- 652800- 0- 0- 1766400- 0- 0- 0],[1- 0- 1- 0- 0- 0- 1- 2],[576000- 0- 576000- 0- 0- 0- 652800- 1766400],            62.71395189420631,1832.2707077562334,7.45522e+11,8.41209e-11,0,0
200002-2-0,[2- 0- 0- 0- 0- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 1363200- 1478400- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 0- 2- 2- 0],[1363200- 0- 0- 0- 0- 1363200- 1478400- 0],            47.86510196998857,1424.3707409358103,5.96832e+11,8.01986e-11,0,0
300300-1-1,[3- 0- 0- 3- 0- 0- 1- 0- 0- 1- 0- 0- 0],[1804800- 0- 0- 1804800- 0- 0- 652800- 0- 0- 806400- 0- 0- 0],[3- 0- 0- 3- 0- 0- 1- 1],[1804800- 0- 0- 1804800- 0- 0- 652800- 806400],            39.019265274982374,1159.5139921752466,4.64963e+11,8.39191e-11,0,0
202002-2-3,[2- 0- 2- 0- 0- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 0- 1363200- 0- 0- 1363200- 1478400- 0- 0- 2400000- 0- 0- 0],[2- 0- 2- 0- 0- 2- 2- 3],[1363200- 0- 1363200- 0- 0- 1363200- 1478400- 2400000],            97.24138614826803,2757.663960507682,1.23633e+12,7.86533e-11,0,0
333303-0-0,[3- 3- 3- 3- 0- 3- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 0- 3- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 0- 0],            59.358545626680076,1734.4904810284445,6.5994e+11,8.99454e-11,0,0
333303-2-2,[3- 3- 3- 3- 0- 3- 2- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 1478400- 0- 0- 1766400- 0- 0- 0],[3- 3- 3- 3- 0- 3- 2- 2],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 1478400- 1766400],            99.6674290491051,2819.899831069941,1.46159e+12,6.81911e-11,0,0
010110-2-0,[0- 1- 0- 1- 1- 0- 2- 0- 0- 0- 0- 0- 0],[0- 576000- 0- 576000- 576000- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 1- 0- 1- 1- 0- 2- 0],[0- 576000- 0- 576000- 576000- 0- 1478400- 0],            44.887978162079634,1342.2362265334214,5.2908e+11,8.48416e-11,0,0
333300-3-2,[3- 3- 3- 3- 0- 0- 3- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 0- 2208000- 0- 0- 1766400- 0- 0- 0],[3- 3- 3- 3- 0- 0- 3- 2],[1804800- 1804800- 1804800- 1804800- 0- 0- 2208000- 1766400],            88.00551228316039,2503.5164197505355,1.14209e+12,7.70565e-11,0,0
202000-2-1,[2- 0- 2- 0- 0- 0- 2- 0- 0- 1- 0- 0- 0],[1363200- 0- 1363200- 0- 0- 0- 1478400- 0- 0- 806400- 0- 0- 0],[2- 0- 2- 0- 0- 0- 2- 1],[1363200- 0- 1363200- 0- 0- 0- 1478400- 806400],            55.880391426208845,1639.7922023436565,6.98582e+11,7.99912e-11,0,0
030033-1-2,[0- 3- 0- 0- 3- 3- 1- 0- 0- 2- 0- 0- 0],[0- 1804800- 0- 0- 1804800- 1804800- 652800- 0- 0- 1766400- 0- 0- 0],[0- 3- 0- 0- 3- 3- 1- 2],[0- 1804800- 0- 0- 1804800- 1804800- 652800- 1766400],            85.62206665875647,2468.4106535896512,1.06545e+12,8.03624e-11,0,0
003300-2-0,[0- 0- 3- 3- 0- 0- 2- 0- 0- 0- 0- 0- 0],[0- 0- 1804800- 1804800- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 3- 3- 0- 0- 2- 0],[0- 0- 1804800- 1804800- 0- 0- 1478400- 0],            43.401448789067906,1296.796868565133,4.82013e+11,9.00421e-11,0,0
111010-1-1,[1- 1- 1- 0- 1- 0- 1- 0- 0- 1- 0- 0- 0],[576000- 576000- 576000- 0- 576000- 0- 652800- 0- 0- 806400- 0- 0- 0],[1- 1- 1- 0- 1- 0- 1- 1],[576000- 576000- 576000- 0- 576000- 0- 652800- 806400],            40.784636165372405,1226.3248286639973,5.57603e+11,7.31428e-11,0,0
