configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
220200-2-2,[2- 2- 0- 2- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 0- 1363200- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[2- 2- 0- 2- 0- 0- 2- 2],[1363200- 1363200- 0- 1363200- 0- 0- 1478400- 1766400],            73.91177263939154,2133.5028212513107,1.02527e+12,7.20901e-11,0,0
333000-3-0,[3- 3- 3- 0- 0- 0- 3- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 0- 0- 2208000- 0- 0- 0- 0- 0- 0],[3- 3- 3- 0- 0- 0- 3- 0],[1804800- 1804800- 1804800- 0- 0- 0- 2208000- 0],            50.4557052793426,1502.997060481683,5.99027e+11,8.42294e-11,0,0
010000-1-0,[0- 1- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[0- 576000- 0- 0- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[0- 1- 0- 0- 0- 0- 1- 0],[0- 576000- 0- 0- 0- 0- 652800- 0],            27.86299512820046,838.7678337648958,2.06843e+11,1.34706e-10,0,0
330303-1-2,[3- 3- 0- 3- 0- 3- 1- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 0- 1804800- 0- 1804800- 652800- 0- 0- 1766400- 0- 0- 0],[3- 3- 0- 3- 0- 3- 1- 2],[1804800- 1804800- 0- 1804800- 0- 1804800- 652800- 1766400],            82.00779235048205,2359.251015144438,1.12e+12,7.32212e-11,0,0
110000-0-0,[1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0],            23.98412276526465,722.4509608186198,7.7034e+10,3.11345e-10,0,0
022202-2-2,[0- 2- 2- 2- 0- 2- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 1363200- 1363200- 0- 1363200- 1478400- 0- 0- 1766400- 0- 0- 0],[0- 2- 2- 2- 0- 2- 2- 2],[0- 1363200- 1363200- 1363200- 0- 1363200- 1478400- 1766400],            87.20829086123818,2498.0365031303863,1.30679e+12,6.67347e-11,0,0
202002-3-0,[2- 0- 2- 0- 0- 2- 3- 0- 0- 0- 0- 0- 0],[1363200- 0- 1363200- 0- 0- 1363200- 2208000- 0- 0- 0- 0- 0- 0],[2- 0- 2- 0- 0- 2- 3- 0],[1363200- 0- 1363200- 0- 0- 1363200- 2208000- 0],            56.33322721184273,1659.3733454443393,7.70891e+11,7.30755e-11,0,0
303303-2-1,[3- 0- 3- 3- 0- 3- 2- 0- 0- 1- 0- 0- 0],[1804800- 0- 1804800- 1804800- 0- 1804800- 1478400- 0- 0- 806400- 0- 0- 0],[3- 0- 3- 3- 0- 3- 2- 1],[1804800- 0- 1804800- 1804800- 0- 1804800- 1478400- 806400],            71.90443674396933,2090.9121184596584,1.06342e+12,6.76162e-11,0,0
200022-2-3,[2- 0- 0- 0- 2- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 0- 0- 2400000- 0- 0- 0],[2- 0- 0- 0- 2- 2- 2- 3],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 2400000],            84.52879791585856,2423.0759751850333,1.20772e+12,6.99904e-11,0,0
030300-2-3,[0- 3- 0- 3- 0- 0- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 0- 1804800- 0- 0- 1478400- 0- 0- 2400000- 0- 0- 0],[0- 3- 0- 3- 0- 0- 2- 3],[0- 1804800- 0- 1804800- 0- 0- 1478400- 2400000],            73.31275563806082,2141.074254925495,9.81425e+11,7.47003e-11,0,0
