configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
100011-2-0,[1- 0- 0- 0- 1- 1- 2- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 576000- 576000- 1478400- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 1- 1- 2- 0],[576000- 0- 0- 0- 576000- 576000- 1478400- 0],            44.143719581958365,1303.6548457700549,5.30849e+11,8.31568e-11,0,0
011101-2-0,[0- 1- 1- 1- 0- 1- 2- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 576000- 0- 576000- 1478400- 0- 0- 0- 0- 0- 0],[0- 1- 1- 1- 0- 1- 2- 0],[0- 576000- 576000- 576000- 0- 576000- 1478400- 0],            44.193315010864254,1329.3949525199444,5.73685e+11,7.70341e-11,0,0
000303-2-0,[0- 0- 0- 3- 0- 3- 2- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1804800- 0- 1804800- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 0- 3- 0- 3- 2- 0],[0- 0- 0- 1804800- 0- 1804800- 1478400- 0],            56.61733733194737,1661.2709631175587,6.62316e+11,8.54839e-11,0,0
303300-1-0,[3- 0- 3- 3- 0- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 0- 1804800- 1804800- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[3- 0- 3- 3- 0- 0- 1- 0],[1804800- 0- 1804800- 1804800- 0- 0- 652800- 0],            31.076261870843442,943.3746249618375,2.96958e+11,1.04649e-10,0,0
200202-2-1,[2- 0- 0- 2- 0- 2- 2- 0- 0- 1- 0- 0- 0],[1363200- 0- 0- 1363200- 0- 1363200- 1478400- 0- 0- 806400- 0- 0- 0],[2- 0- 0- 2- 0- 2- 2- 1],[1363200- 0- 0- 1363200- 0- 1363200- 1478400- 806400],            64.08803173266075,1865.7694089310849,9.26678e+11,6.91589e-11,0,0
030300-1-0,[0- 3- 0- 3- 0- 0- 1- 0- 0- 0- 0- 0- 0],[0- 1804800- 0- 1804800- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[0- 3- 0- 3- 0- 0- 1- 0],[0- 1804800- 0- 1804800- 0- 0- 652800- 0],            30.262959468084457,914.5335373924903,2.51515e+11,1.20323e-10,0,0
003033-3-1,[0- 0- 3- 0- 3- 3- 3- 0- 0- 1- 0- 0- 0],[0- 0- 1804800- 0- 1804800- 1804800- 2208000- 0- 0- 806400- 0- 0- 0],[0- 0- 3- 0- 3- 3- 3- 1],[0- 0- 1804800- 0- 1804800- 1804800- 2208000- 806400],            98.89841530597062,2791.553204559419,1.14397e+12,8.64519e-11,0,0
202200-2-0,[2- 0- 2- 2- 0- 0- 2- 0- 0- 0- 0- 0- 0],[1363200- 0- 1363200- 1363200- 0- 0- 1478400- 0- 0- 0- 0- 0- 0],[2- 0- 2- 2- 0- 0- 2- 0],[1363200- 0- 1363200- 1363200- 0- 0- 1478400- 0],            43.7457276563532,1312.5790530547679,5.28739e+11,8.2736e-11,0,0
000220-2-0,[0- 0- 0- 2- 2- 0- 2- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1363200- 1363200- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 0- 2- 2- 0- 2- 0],[0- 0- 0- 1363200- 1363200- 0- 1478400- 0],            42.2174501218314,1274.5830517462823,4.81811e+11,8.76224e-11,0,0
200000-1-0,[2- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 0- 0- 1- 0],[1363200- 0- 0- 0- 0- 0- 652800- 0],            28.99085695199864,871.4213189013175,2.06904e+11,1.40117e-10,0,0
