configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
020222-2-2,[0- 2- 0- 2- 2- 2- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 0- 1363200- 1363200- 1363200- 1478400- 0- 0- 1766400- 0- 0- 0],[0- 2- 0- 2- 2- 2- 2- 2],[0- 1363200- 0- 1363200- 1363200- 1363200- 1478400- 1766400],            86.5390817247793,2466.866471812187,1.3071e+12,6.62069e-11,0,0
003333-2-1,[0- 0- 3- 3- 3- 3- 2- 0- 0- 1- 0- 0- 0],[0- 0- 1804800- 1804800- 1804800- 1804800- 1478400- 0- 0- 806400- 0- 0- 0],[0- 0- 3- 3- 3- 3- 2- 1],[0- 0- 1804800- 1804800- 1804800- 1804800- 1478400- 806400],            85.20820580944705,2443.848499251901,1.15609e+12,7.37038e-11,0,0
222222-3-0,[2- 2- 2- 2- 2- 2- 3- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 2208000- 0- 0- 0- 0- 0- 0],[2- 2- 2- 2- 2- 2- 3- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 2208000- 0],            72.84938594762265,2102.6295166365608,1.10405e+12,6.59838e-11,0,0
030003-3-3,[0- 3- 0- 0- 0- 3- 3- 0- 0- 3- 0- 0- 0],[0- 1804800- 0- 0- 0- 1804800- 2208000- 0- 0- 2400000- 0- 0- 0],[0- 3- 0- 0- 0- 3- 3- 3],[0- 1804800- 0- 0- 0- 1804800- 2208000- 2400000],            92.37357480908723,2624.406833047717,1.02148e+12,9.04311e-11,0,0
100001-1-3,[1- 0- 0- 0- 0- 1- 1- 0- 0- 3- 0- 0- 0],[576000- 0- 0- 0- 0- 576000- 652800- 0- 0- 2400000- 0- 0- 0],[1- 0- 0- 0- 0- 1- 1- 3],[576000- 0- 0- 0- 0- 576000- 652800- 2400000],            77.69781164438514,2232.328839778562,8.16806e+11,9.51239e-11,0,0
003030-2-0,[0- 0- 3- 0- 3- 0- 2- 0- 0- 0- 0- 0- 0],[0- 0- 1804800- 0- 1804800- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 3- 0- 3- 0- 2- 0],[0- 0- 1804800- 0- 1804800- 0- 1478400- 0],            43.030775767559064,1277.0739330131998,4.82036e+11,8.92688e-11,0,0
000000-1-0,[0- 0- 0- 0- 0- 0- 1- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 652800- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1- 0],[0- 0- 0- 0- 0- 0- 652800- 0],            27.582143253397177,838.6099145024627,1.62803e+11,1.6942e-10,0,0
303333-3-3,[3- 0- 3- 3- 3- 3- 3- 0- 0- 3- 0- 0- 0],[1804800- 0- 1804800- 1804800- 1804800- 1804800- 2208000- 0- 0- 2400000- 0- 0- 0],[3- 0- 3- 3- 3- 3- 3- 3],[1804800- 0- 1804800- 1804800- 1804800- 1804800- 2208000- 2400000],            109.10187118031861,3049.312327721447,1.57706e+12,6.91805e-11,0,0
022000-1-3,[0- 2- 2- 0- 0- 0- 1- 0- 0- 3- 0- 0- 0],[0- 1363200- 1363200- 0- 0- 0- 652800- 0- 0- 2400000- 0- 0- 0],[0- 2- 2- 0- 0- 0- 1- 3],[0- 1363200- 1363200- 0- 0- 0- 652800- 2400000],            77.44475534546744,2232.2402182284204,8.22673e+11,9.4138e-11,0,0
000220-2-0,[0- 0- 0- 2- 2- 0- 2- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1363200- 1363200- 0- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 0- 2- 2- 0- 2- 0],[0- 0- 0- 1363200- 1363200- 0- 1478400- 0],            44.00437632656581,1300.767287687879,4.81056e+11,9.14745e-11,0,0
303000-2-2,[3- 0- 3- 0- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1804800- 0- 1804800- 0- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[3- 0- 3- 0- 0- 0- 2- 2],[1804800- 0- 1804800- 0- 0- 0- 1478400- 1766400],            72.11525681312612,2091.4675395659247,9.7823e+11,7.37201e-11,0,0
200000-2-2,[2- 0- 0- 0- 0- 0- 2- 0- 0- 2- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 1478400- 0- 0- 1766400- 0- 0- 0],[2- 0- 0- 0- 0- 0- 2- 2],[1363200- 0- 0- 0- 0- 0- 1478400- 1766400],            70.74796786561328,2058.210775945702,9.23446e+11,7.6613e-11,0,0
003000-3-1,[0- 0- 3- 0- 0- 0- 3- 0- 0- 1- 0- 0- 0],[0- 0- 1804800- 0- 0- 0- 2208000- 0- 0- 806400- 0- 0- 0],[0- 0- 3- 0- 0- 0- 3- 1],[0- 0- 1804800- 0- 0- 0- 2208000- 806400],            73.78185053874205,2132.745717410461,7.7572e+11,9.5114e-11,0,0
011000-1-2,[0- 1- 1- 0- 0- 0- 1- 0- 0- 2- 0- 0- 0],[0- 576000- 576000- 0- 0- 0- 652800- 0- 0- 1766400- 0- 0- 0],[0- 1- 1- 0- 0- 0- 1- 2],[0- 576000- 576000- 0- 0- 0- 652800- 1766400],            62.30450046803677,1818.0703260875896,7.39428e+11,8.42604e-11,0,0
220022-2-0,[2- 2- 0- 0- 2- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 0- 0- 1363200- 1363200- 1478400- 0- 0- 0- 0- 0- 0],[2- 2- 0- 0- 2- 2- 2- 0],[1363200- 1363200- 0- 0- 1363200- 1363200- 1478400- 0],            54.18406038615154,1600.0791397981307,8.05817e+11,6.72411e-11,0,0
222002-3-3,[2- 2- 2- 0- 0- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 0- 0- 1363200- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 0- 0- 2- 3- 3],[1363200- 1363200- 1363200- 0- 0- 1363200- 2208000- 2400000],            97.94831781368502,2759.679668781728,1.28145e+12,7.64355e-11,0,0
222202-3-3,[2- 2- 2- 2- 0- 2- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 2- 0- 2- 3- 3],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 2208000- 2400000],            93.60167748806641,2658.2535536857117,1.2999e+12,7.20068e-11,0,0
010100-3-2,[0- 1- 0- 1- 0- 0- 3- 0- 0- 2- 0- 0- 0],[0- 576000- 0- 576000- 0- 0- 2208000- 0- 0- 1766400- 0- 0- 0],[0- 1- 0- 1- 0- 0- 3- 2],[0- 576000- 0- 576000- 0- 0- 2208000- 1766400],            84.23742585432308,2410.4103500371016,1.05553e+12,7.98058e-11,0,0
010001-2-1,[0- 1- 0- 0- 0- 1- 2- 0- 0- 1- 0- 0- 0],[0- 576000- 0- 0- 0- 576000- 1478400- 0- 0- 806400- 0- 0- 0],[0- 1- 0- 0- 0- 1- 2- 1],[0- 576000- 0- 0- 0- 576000- 1478400- 806400],            55.33565726501188,1624.3088436533774,6.99479e+11,7.91098e-11,0,0
330300-3-1,[3- 3- 0- 3- 0- 0- 3- 0- 0- 1- 0- 0- 0],[1804800- 1804800- 0- 1804800- 0- 0- 2208000- 0- 0- 806400- 0- 0- 0],[3- 3- 0- 3- 0- 0- 3- 1],[1804800- 1804800- 0- 1804800- 0- 0- 2208000- 806400],            75.6157173351694,2194.5948926251554,8.75034e+11,8.64146e-11,0,0
003030-1-3,[0- 0- 3- 0- 3- 0- 1- 0- 0- 3- 0- 0- 0],[0- 0- 1804800- 0- 1804800- 0- 652800- 0- 0- 2400000- 0- 0- 0],[0- 0- 3- 0- 3- 0- 1- 3],[0- 0- 1804800- 0- 1804800- 0- 652800- 2400000],            80.79696218385486,2310.87771986498,8.35106e+11,9.67505e-11,0,0
022002-2-2,[0- 2- 2- 0- 0- 2- 2- 0- 0- 2- 0- 0- 0],[0- 1363200- 1363200- 0- 0- 1363200- 1478400- 0- 0- 1766400- 0- 0- 0],[0- 2- 2- 0- 0- 2- 2- 2],[0- 1363200- 1363200- 0- 0- 1363200- 1478400- 1766400],            84.24564414293741,2413.381226666084,1.20221e+12,7.00756e-11,0,0
303003-3-2,[3- 0- 3- 0- 0- 3- 3- 0- 0- 2- 0- 0- 0],[1804800- 0- 1804800- 0- 0- 1804800- 2208000- 0- 0- 1766400- 0- 0- 0],[3- 0- 3- 0- 0- 3- 3- 2],[1804800- 0- 1804800- 0- 0- 1804800- 2208000- 1766400],            98.20267158259082,2772.990502612604,1.28847e+12,7.62165e-11,0,0
200022-3-0,[2- 0- 0- 0- 2- 2- 3- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 1363200- 1363200- 2208000- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 2- 2- 3- 0],[1363200- 0- 0- 0- 1363200- 1363200- 2208000- 0],            64.33302442947047,1886.0316032631672,7.97938e+11,8.06241e-11,0,0
000033-3-0,[0- 0- 0- 0- 3- 3- 3- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 1804800- 1804800- 2208000- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 3- 3- 3- 0],[0- 0- 0- 0- 1804800- 1804800- 2208000- 0],            71.47714649086498,2083.992006292365,7.71103e+11,9.26947e-11,0,0
011010-1-0,[0- 1- 1- 0- 1- 0- 1- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 0- 576000- 0- 652800- 0- 0- 0- 0- 0- 0],[0- 1- 1- 0- 1- 0- 1- 0],[0- 576000- 576000- 0- 576000- 0- 652800- 0],            32.2031349988278,961.216457491102,2.9512e+11,1.09119e-10,0,0
010110-3-1,[0- 1- 0- 1- 1- 0- 3- 0- 0- 1- 0- 0- 0],[0- 576000- 0- 576000- 576000- 0- 2208000- 0- 0- 806400- 0- 0- 0],[0- 1- 0- 1- 1- 0- 3- 1],[0- 576000- 0- 576000- 576000- 0- 2208000- 806400],            80.76101558643393,2338.020518126023,9.02422e+11,8.94936e-11,0,0
110100-3-1,[1- 1- 0- 1- 0- 0- 3- 0- 0- 1- 0- 0- 0],[576000- 576000- 0- 576000- 0- 0- 2208000- 0- 0- 806400- 0- 0- 0],[1- 1- 0- 1- 0- 0- 3- 1],[576000- 576000- 0- 576000- 0- 0- 2208000- 806400],            79.1052141914054,2256.6922239881405,8.84107e+11,8.94747e-11,0,0
000110-1-3,[0- 0- 0- 1- 1- 0- 1- 0- 0- 3- 0- 0- 0],[0- 0- 0- 576000- 576000- 0- 652800- 0- 0- 2400000- 0- 0- 0],[0- 0- 0- 1- 1- 0- 1- 3],[0- 0- 0- 576000- 576000- 0- 652800- 2400000],            82.23395073993242,2357.5696150316758,8.4033e+11,9.78591e-11,0,0
030030-2-3,[0- 3- 0- 0- 3- 0- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 0- 0- 1804800- 0- 1478400- 0- 0- 2400000- 0- 0- 0],[0- 3- 0- 0- 3- 0- 2- 3],[0- 1804800- 0- 0- 1804800- 0- 1478400- 2400000],            94.60510559629566,2678.071403414792,1.05387e+12,8.97692e-11,0,0
000101-3-3,[0- 0- 0- 1- 0- 1- 3- 0- 0- 3- 0- 0- 0],[0- 0- 0- 576000- 0- 576000- 2208000- 0- 0- 2400000- 0- 0- 0],[0- 0- 0- 1- 0- 1- 3- 3],[0- 0- 0- 576000- 0- 576000- 2208000- 2400000],            84.92554005210637,2430.9330929289677,9.7063e+11,8.74953e-11,0,0
303030-1-0,[3- 0- 3- 0- 3- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 0- 1804800- 0- 1804800- 0- 652800- 0- 0- 0- 0- 0- 0],[3- 0- 3- 0- 3- 0- 1- 0],[1804800- 0- 1804800- 0- 1804800- 0- 652800- 0],            32.63422888509215,976.2255498630059,2.965e+11,1.10065e-10,0,0
200022-2-0,[2- 0- 0- 0- 2- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 2- 2- 2- 0],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 0],            51.68580509594272,1532.1952588349995,7.00909e+11,7.37411e-11,0,0
020202-3-1,[0- 2- 0- 2- 0- 2- 3- 0- 0- 1- 0- 0- 0],[0- 1363200- 0- 1363200- 0- 1363200- 2208000- 0- 0- 806400- 0- 0- 0],[0- 2- 0- 2- 0- 2- 3- 1],[0- 1363200- 0- 1363200- 0- 1363200- 2208000- 806400],            86.85177912102822,2475.0257791313034,1.04881e+12,8.28098e-11,0,0
300333-1-1,[3- 0- 0- 3- 3- 3- 1- 0- 0- 1- 0- 0- 0],[1804800- 0- 0- 1804800- 1804800- 1804800- 652800- 0- 0- 806400- 0- 0- 0],[3- 0- 0- 3- 3- 3- 1- 1],[1804800- 0- 0- 1804800- 1804800- 1804800- 652800- 806400],            66.23083096744834,1924.2323685709912,9.27108e+11,7.14381e-11,0,0
011110-3-0,[0- 1- 1- 1- 1- 0- 3- 0- 0- 0- 0- 0- 0],[0- 576000- 576000- 576000- 576000- 0- 2208000- 0- 0- 0- 0- 0- 0],[0- 1- 1- 1- 1- 0- 3- 0],[0- 576000- 576000- 576000- 576000- 0- 2208000- 0],            62.503704973565384,1827.0592895533744,7.09725e+11,8.80675e-11,0,0
110101-3-2,[1- 1- 0- 1- 0- 1- 3- 0- 0- 2- 0- 0- 0],[576000- 576000- 0- 576000- 0- 576000- 2208000- 0- 0- 1766400- 0- 0- 0],[1- 1- 0- 1- 0- 1- 3- 2],[576000- 576000- 0- 576000- 0- 576000- 2208000- 1766400],            90.81820424511663,2584.4378267678603,1.16546e+12,7.79248e-11,0,0
333300-0-0,[3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0],            27.16271152711171,827.9539168635279,1.63609e+11,1.66022e-10,0,0
033333-1-1,[0- 3- 3- 3- 3- 3- 1- 0- 0- 1- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 652800- 0- 0- 806400- 0- 0- 0],[0- 3- 3- 3- 3- 3- 1- 1],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 652800- 806400],            73.5927703416869,2133.59888573309,1.07105e+12,6.87109e-11,0,0
330033-1-0,[3- 3- 0- 0- 3- 3- 1- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 1804800- 1804800- 652800- 0- 0- 0- 0- 0- 0],[3- 3- 0- 0- 3- 3- 1- 0],[1804800- 1804800- 0- 0- 1804800- 1804800- 652800- 0],            57.30726673193205,1678.7103935208145,7.03744e+11,8.1432e-11,0,0
111001-2-2,[1- 1- 1- 0- 0- 1- 2- 0- 0- 2- 0- 0- 0],[576000- 576000- 576000- 0- 0- 576000- 1478400- 0- 0- 1766400- 0- 0- 0],[1- 1- 1- 0- 0- 1- 2- 2],[576000- 576000- 576000- 0- 0- 576000- 1478400- 1766400],            74.43468514123016,2166.3111905452356,1.07998e+12,6.89223e-11,0,0
110011-1-0,[1- 1- 0- 0- 1- 1- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 576000- 576000- 652800- 0- 0- 0- 0- 0- 0],[1- 1- 0- 0- 1- 1- 1- 0],[576000- 576000- 0- 0- 576000- 576000- 652800- 0],            32.50055771142106,973.26411729368,3.41277e+11,9.52322e-11,0,0
001100-2-1,[0- 0- 1- 1- 0- 0- 2- 0- 0- 1- 0- 0- 0],[0- 0- 576000- 576000- 0- 0- 1478400- 0- 0- 806400- 0- 0- 0],[0- 0- 1- 1- 0- 0- 2- 1],[0- 0- 576000- 576000- 0- 0- 1478400- 806400],            54.69829866642393,1611.040985826898,7.08818e+11,7.71683e-11,0,0
002000-1-2,[0- 0- 2- 0- 0- 0- 1- 0- 0- 2- 0- 0- 0],[0- 0- 1363200- 0- 0- 0- 652800- 0- 0- 1766400- 0- 0- 0],[0- 0- 2- 0- 0- 0- 1- 2],[0- 0- 1363200- 0- 0- 0- 652800- 1766400],            60.10358672094168,1758.161313961997,6.96316e+11,8.63165e-11,0,0
000020-0-0,[0- 0- 0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 1363200- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 2- 0- 0- 0],[0- 0- 0- 0- 1363200- 0- 0- 0],            23.293032334403396,705.7959851539943,3.72852e+10,6.24726e-10,0,0
200000-1-1,[2- 0- 0- 0- 0- 0- 1- 0- 0- 1- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 652800- 0- 0- 806400- 0- 0- 0],[2- 0- 0- 0- 0- 0- 1- 1],[1363200- 0- 0- 0- 0- 0- 652800- 806400],            36.69828841271669,1095.8174125732228,4.21872e+11,8.69892e-11,0,0
010110-0-0,[0- 1- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0],[0- 576000- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1- 0- 1- 1- 0- 0- 0],[0- 576000- 0- 576000- 576000- 0- 0- 0],            26.637324456023038,806.4178927358697,1.20836e+11,2.20442e-10,0,0
330030-1-0,[3- 3- 0- 0- 3- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 0- 0- 1804800- 0- 652800- 0- 0- 0- 0- 0- 0],[3- 3- 0- 0- 3- 0- 1- 0],[1804800- 1804800- 0- 0- 1804800- 0- 652800- 0],            31.599363093106078,937.4766501247435,2.95936e+11,1.06778e-10,0,0
000100-1-2,[0- 0- 0- 1- 0- 0- 1- 0- 0- 2- 0- 0- 0],[0- 0- 0- 576000- 0- 0- 652800- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 1- 0- 0- 1- 2],[0- 0- 0- 576000- 0- 0- 652800- 1766400],            58.86831616692965,1729.7934655063225,6.92714e+11,8.49821e-11,0,0
333030-1-0,[3- 3- 3- 0- 3- 0- 1- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 0- 1804800- 0- 652800- 0- 0- 0- 0- 0- 0],[3- 3- 3- 0- 3- 0- 1- 0],[1804800- 1804800- 1804800- 0- 1804800- 0- 652800- 0],            32.42481487173756,977.4891573561773,3.40981e+11,9.50927e-11,0,0
100000-1-3,[1- 0- 0- 0- 0- 0- 1- 0- 0- 3- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 652800- 0- 0- 2400000- 0- 0- 0],[1- 0- 0- 0- 0- 0- 1- 3],[576000- 0- 0- 0- 0- 0- 652800- 2400000],            95.16428595362142,2693.4627146128737,8.54081e+11,1.11423e-10,0,0
333303-1-0,[3- 3- 3- 3- 0- 3- 1- 0- 0- 0- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 652800- 0- 0- 0- 0- 0- 0],[3- 3- 3- 3- 0- 3- 1- 0],[1804800- 1804800- 1804800- 1804800- 0- 1804800- 652800- 0],            63.92627083840361,1872.2691270253774,8.38691e+11,7.62215e-11,0,0
222020-3-3,[2- 2- 2- 0- 2- 0- 3- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 0- 1363200- 0- 2208000- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 0- 2- 0- 3- 3],[1363200- 1363200- 1363200- 0- 1363200- 0- 2208000- 2400000],            88.94366448063793,2549.040678228674,1.04429e+12,8.51714e-11,0,0
300330-3-1,[3- 0- 0- 3- 3- 0- 3- 0- 0- 1- 0- 0- 0],[1804800- 0- 0- 1804800- 1804800- 0- 2208000- 0- 0- 806400- 0- 0- 0],[3- 0- 0- 3- 3- 0- 3- 1],[1804800- 0- 0- 1804800- 1804800- 0- 2208000- 806400],            75.6591750317513,2193.5363678637127,8.57944e+11,8.81866e-11,0,0
000101-1-3,[0- 0- 0- 1- 0- 1- 1- 0- 0- 3- 0- 0- 0],[0- 0- 0- 576000- 0- 576000- 652800- 0- 0- 2400000- 0- 0- 0],[0- 0- 0- 1- 0- 1- 1- 3],[0- 0- 0- 576000- 0- 576000- 652800- 2400000],            81.43161250837427,2348.1923878910743,8.4042e+11,9.68939e-11,0,0
100000-2-3,[1- 0- 0- 0- 0- 0- 2- 0- 0- 3- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 1478400- 0- 0- 2400000- 0- 0- 0],[1- 0- 0- 0- 0- 0- 2- 3],[576000- 0- 0- 0- 0- 0- 1478400- 2400000],            92.18793002834745,2625.717014744554,1.00907e+12,9.13593e-11,0,0
003330-1-2,[0- 0- 3- 3- 3- 0- 1- 0- 0- 2- 0- 0- 0],[0- 0- 1804800- 1804800- 1804800- 0- 652800- 0- 0- 1766400- 0- 0- 0],[0- 0- 3- 3- 3- 0- 1- 2],[0- 0- 1804800- 1804800- 1804800- 0- 652800- 1766400],            63.61881222038466,1853.2962329584195,7.91649e+11,8.03624e-11,0,0
200022-2-2,[2- 0- 0- 0- 2- 2- 2- 0- 0- 2- 0- 0- 0],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 0- 0- 1766400- 0- 0- 0],[2- 0- 0- 0- 2- 2- 2- 2],[1363200- 0- 0- 0- 1363200- 1363200- 1478400- 1766400],            82.86729991234954,2380.8819161938873,1.20016e+12,6.90469e-11,0,0
000022-2-0,[0- 0- 0- 0- 2- 2- 2- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 1363200- 1363200- 1478400- 0- 0- 0- 0- 0- 0],[0- 0- 0- 0- 2- 2- 2- 0],[0- 0- 0- 0- 1363200- 1363200- 1478400- 0],            47.481808105014466,1411.1487310361492,5.95075e+11,7.97913e-11,0,0
033003-2-3,[0- 3- 3- 0- 0- 3- 2- 0- 0- 3- 0- 0- 0],[0- 1804800- 1804800- 0- 0- 1804800- 1478400- 0- 0- 2400000- 0- 0- 0],[0- 3- 3- 0- 0- 3- 2- 3],[0- 1804800- 1804800- 0- 0- 1804800- 1478400- 2400000],            107.84098219667032,3018.3648683728165,1.30406e+12,8.26963e-11,0,0
