configurations,generic format,exact frequency,google pixel format,exact frequencies,phone energy,                    phone power,workload,energy by workload,starting cc_info,ending cc_info
303333-2-3,[3- 0- 3- 3- 3- 3- 2- 0- 0- 3- 0- 0- 0],[1804800- 0- 1804800- 1804800- 1804800- 1804800- 1478400- 0- 0- 2400000- 0- 0- 0],[3- 0- 3- 3- 3- 3- 2- 3],[1804800- 0- 1804800- 1804800- 1804800- 1804800- 1478400- 2400000],            105.00109687320945,2946.9263335292753,8.99168e+11,1.16776e-10,0,0
000000-1-2,[0- 0- 0- 0- 0- 0- 1- 0- 0- 2- 0- 0- 0],[0- 0- 0- 0- 0- 0- 652800- 0- 0- 1766400- 0- 0- 0],[0- 0- 0- 0- 0- 0- 1- 2],[0- 0- 0- 0- 0- 0- 652800- 1766400],            39.92204534168386,1185.8102662455944,6.42325e+11,6.21524e-11,0,0
101111-3-2,[1- 0- 1- 1- 1- 1- 3- 0- 0- 2- 0- 0- 0],[576000- 0- 576000- 576000- 576000- 576000- 2208000- 0- 0- 1766400- 0- 0- 0],[1- 0- 1- 1- 1- 1- 3- 2],[576000- 0- 576000- 576000- 576000- 576000- 2208000- 1766400],            64.82001619850253,1879.891661731186,1.1482e+12,5.64536e-11,0,0
022002-2-3,[0- 2- 2- 0- 0- 2- 2- 0- 0- 3- 0- 0- 0],[0- 1363200- 1363200- 0- 0- 1363200- 1478400- 0- 0- 2400000- 0- 0- 0],[0- 2- 2- 0- 0- 2- 2- 3],[0- 1363200- 1363200- 0- 0- 1363200- 1478400- 2400000],            93.70148281455602,2661.30978975871,1.23176e+12,7.60712e-11,0,0
