configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
0111-0030,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 3- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[0- 1- 1- 1- 0- 0- 3- 0],[0- 598000- 598000- 598000- 0- 0- 2314000- 0],45.51229149217809,1351.4712562526342,2.51521e+11,1.80948e-10,2576500,2576500
3333-3303,[3- 3- 3- 3- 0- 0- 0- 0- 0- 3- 3- 0- 3],[1690000- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[3- 3- 3- 3- 3- 3- 0- 3],[1690000- 1690000- 1690000- 1690000- 2314000- 2314000- 0- 2314000],90.4035528703114,2576.2617466093084,1.46379e+12,6.17599e-11,2547500,2487000
1011-2022,[1- 0- 1- 1- 0- 0- 0- 0- 0- 2- 0- 2- 2],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[1- 0- 1- 1- 2- 0- 2- 2],[598000- 0- 598000- 598000- 1469000- 0- 1469000- 1469000],89.52086964264953,2551.522105878165,9.04e+11,9.90275e-11,2550000,2549000
2002-0001,[2- 0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 1],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 741000],[2- 0- 0- 2- 0- 0- 0- 1],[1248000- 0- 0- 1248000- 0- 0- 0- 741000],44.34103436780009,1319.6927477111162,2.72058e+11,1.62984e-10,2548000,2548000
2202-0111,[2- 2- 0- 2- 0- 0- 0- 0- 0- 0- 1- 1- 1],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000],[2- 2- 0- 2- 0- 1- 1- 1],[1248000- 1248000- 0- 1248000- 0- 741000- 741000- 741000],61.50794704518574,1793.7669598981329,6.67361e+11,9.21659e-11,2541500,2541500
0020-0020,[0- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0],[0- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0],[0- 0- 2- 0- 0- 0- 2- 0],[0- 0- 1248000- 0- 0- 0- 1469000- 0],39.9099761279957,1189.1699667405767,1.5084e+11,2.64585e-10,2540000,2540000
0000-0022,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 0- 0- 0- 0- 0- 2- 2],[0- 0- 0- 0- 0- 0- 1469000- 1469000],68.98930800611024,2010.903385627652,4.96181e+11,1.39041e-10,2539000,2539000
2000-0200,[2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[2- 0- 0- 0- 0- 2- 0- 0],[1248000- 0- 0- 0- 0- 1469000- 0- 0],40.07816149913286,1186.514289640129,1.51311e+11,2.64873e-10,2538000,2538000
2220-0200,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[2- 2- 2- 0- 0- 2- 0- 0],[1248000- 1248000- 1248000- 0- 0- 1469000- 0- 0],40.65620032854226,1209.4411154281127,2.18607e+11,1.85978e-10,2536000,2536000
1011-0220,[1- 0- 1- 1- 0- 0- 0- 0- 0- 0- 2- 2- 0],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[1- 0- 1- 1- 0- 2- 2- 0],[598000- 0- 598000- 598000- 0- 1469000- 1469000- 0],47.25330003211989,1400.2714718549691,3.815e+11,1.23862e-10,2534500,2534500
1010-0011,[1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 1- 1],[598000- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 741000],[1- 0- 1- 0- 0- 0- 1- 1],[598000- 0- 598000- 0- 0- 0- 741000- 741000],46.26045947601757,1376.366387529807,3.12504e+11,1.48032e-10,2533500,2533500
0101-0333,[0- 1- 0- 1- 0- 0- 0- 0- 0- 0- 3- 3- 3],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000],[0- 1- 0- 1- 0- 3- 3- 3],[0- 598000- 0- 598000- 0- 2314000- 2314000- 2314000],86.55409400072374,2476.926221009076,1.00742e+12,8.59166e-11,2505000,2461000
2202-3330,[2- 2- 0- 2- 0- 0- 0- 0- 0- 3- 3- 3- 0],[1248000- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[2- 2- 0- 2- 3- 3- 3- 0],[1248000- 1248000- 0- 1248000- 2314000- 2314000- 2314000- 0],61.37426787361996,1793.06044627459,6.4859e+11,9.46272e-11,2528500,2528500
2222-3300,[2- 2- 2- 2- 0- 0- 0- 0- 0- 3- 3- 0- 0],[1248000- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[2- 2- 2- 2- 3- 3- 0- 0],[1248000- 1248000- 1248000- 1248000- 2314000- 2314000- 0- 0],58.02978594733165,1695.223833408166,6.13759e+11,9.45482e-11,2527000,2527000
2220-3030,[2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[2- 2- 2- 0- 3- 0- 3- 0],[1248000- 1248000- 1248000- 0- 2314000- 0- 2314000- 0],54.25672002967279,1594.4465767285653,4.33066e+11,1.25285e-10,2525500,2525500
2002-1100,[2- 0- 0- 2- 0- 0- 0- 0- 0- 1- 1- 0- 0],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[2- 0- 0- 2- 1- 1- 0- 0],[1248000- 0- 0- 1248000- 741000- 741000- 0- 0],52.26101954026655,1539.5331914016442,4.35123e+11,1.20106e-10,2523500,2523500
0100-0222,[0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2],[0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[0- 1- 0- 0- 0- 2- 2- 2],[0- 598000- 0- 0- 0- 1469000- 1469000- 1469000],88.05160361598114,2514.8018527747095,8.11913e+11,1.0845e-10,2515000,2514000
2022-2222,[2- 0- 2- 2- 0- 0- 0- 0- 0- 2- 2- 2- 2],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 1469000],[2- 0- 2- 2- 2- 2- 2- 2],[1248000- 0- 1248000- 1248000- 1469000- 1469000- 1469000- 1469000],91.66658182701643,2608.914340444391,1.31913e+12,6.94902e-11,2508000,2486500
3330-3030,[3- 3- 3- 0- 0- 0- 0- 0- 0- 3- 0- 3- 0],[1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[3- 3- 3- 0- 3- 0- 3- 0],[1690000- 1690000- 1690000- 0- 2314000- 0- 2314000- 0],47.07116237570141,1392.8970133515961,3.50227e+11,1.34402e-10,2504000,2504000
0003-3030,[0- 0- 0- 3- 0- 0- 0- 0- 0- 3- 0- 3- 0],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[0- 0- 0- 3- 3- 0- 3- 0],[0- 0- 0- 1690000- 2314000- 0- 2314000- 0],57.57187135374937,1688.6848154899399,3.75149e+11,1.53464e-10,2502000,2502000
0300-2200,[0- 3- 0- 0- 0- 0- 0- 0- 0- 2- 2- 0- 0],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 0],[0- 3- 0- 0- 2- 2- 0- 0],[0- 1690000- 0- 0- 1469000- 1469000- 0- 0],91.43274758681508,2600.1968627285523,8.36921e+11,1.09249e-10,2484000,2423500
3303-1000,[3- 3- 0- 3- 0- 0- 0- 0- 0- 1- 0- 0- 0],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[3- 3- 0- 3- 1- 0- 0- 0],[1690000- 1690000- 0- 1690000- 741000- 0- 0- 0],64.11537297319663,1873.006460983408,4.94507e+11,1.29655e-10,2480500,2480500
1110-0010,[1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 1- 0],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 0],[1- 1- 1- 0- 0- 0- 1- 0],[598000- 598000- 598000- 0- 0- 0- 741000- 0],41.13850468587238,1227.6292970533923,2.15673e+11,1.90745e-10,2479000,2479000
2022-1111,[2- 0- 2- 2- 0- 0- 0- 0- 0- 1- 1- 1- 1],[1248000- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 741000- 741000],[2- 0- 2- 2- 1- 1- 1- 1],[1248000- 0- 1248000- 1248000- 741000- 741000- 741000- 741000],67.75937879128875,1972.7638658300025,7.81912e+11,8.66586e-11,2477500,2477500
0111-0300,[0- 1- 1- 1- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 1- 1- 1- 0- 3- 0- 0],[0- 598000- 598000- 598000- 0- 2314000- 0- 0],41.86405775258559,1248.2587086017188,2.50879e+11,1.6687e-10,2476000,2476000
1001-0030,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 3- 0],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[1- 0- 0- 1- 0- 0- 3- 0],[598000- 0- 0- 598000- 0- 0- 2314000- 0],41.26061883005042,1223.1675022096153,2.07407e+11,1.98936e-10,2475000,2475000
2220-0020,[2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0],[2- 2- 2- 0- 0- 0- 2- 0],[1248000- 1248000- 1248000- 0- 0- 0- 1469000- 0],44.79568098023581,1325.1032089597352,2.19875e+11,2.03732e-10,2473500,2473500
3033-2022,[3- 0- 3- 3- 0- 0- 0- 0- 0- 2- 0- 2- 2],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[3- 0- 3- 3- 2- 0- 2- 2],[1690000- 0- 1690000- 1690000- 1469000- 0- 1469000- 1469000],91.76946772203053,2608.0014927932207,1.15175e+12,7.96783e-11,2464500,2442500
3000-1100,[3- 0- 0- 0- 0- 0- 0- 0- 0- 1- 1- 0- 0],[1690000- 0- 0- 0- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[3- 0- 0- 0- 1- 1- 0- 0],[1690000- 0- 0- 0- 741000- 741000- 0- 0],46.58039898331025,1376.1747492483155,2.80893e+11,1.6583e-10,2455500,2455500
