configurations,generic format,exact frequency,samsung galaxy format,exact frequencies,phone energy,phone power,workload,energy by workload,starting cc_info,ending cc_info
0222-0002,[0- 2- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2],[0- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[0- 2- 2- 2- 0- 0- 0- 2],[0- 1248000- 1248000- 1248000- 0- 0- 0- 1469000],60.316615267527105,1760.7270067340405,5.26179e+11,1.14631e-10,2836000,2836000
0003-1001,[0- 0- 0- 3- 0- 0- 0- 0- 0- 1- 0- 0- 1],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 741000- 0- 0- 741000],[0- 0- 0- 3- 1- 0- 0- 1],[0- 0- 0- 1690000- 741000- 0- 0- 741000],58.124317583943025,1708.5617349753977,3.66687e+11,1.58512e-10,2835000,2835000
0202-1101,[0- 2- 0- 2- 0- 0- 0- 0- 0- 1- 1- 0- 1],[0- 1248000- 0- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[0- 2- 0- 2- 1- 1- 0- 1],[0- 1248000- 0- 1248000- 741000- 741000- 0- 741000],58.944041013671665,1720.6058400319585,5.48081e+11,1.07546e-10,2833000,2833000
0333-0033,[0- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 3- 3],[0- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000],[0- 3- 3- 3- 0- 0- 3- 3],[0- 1690000- 1690000- 1690000- 0- 0- 2314000- 2314000],89.99325212741249,2563.278566522936,1.11449e+12,8.07484e-11,2810000,2762000
2220-3330,[2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 3- 3- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 0],[2- 2- 2- 0- 3- 3- 3- 0],[1248000- 1248000- 1248000- 0- 2314000- 2314000- 2314000- 0],54.68838529495604,1609.3530376904757,4.7431e+11,1.15301e-10,2787000,2787000
1111-0002,[1- 1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 2],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[1- 1- 1- 1- 0- 0- 0- 2],[598000- 598000- 598000- 598000- 0- 0- 0- 1469000],53.51116702701374,1584.050061060039,4.25323e+11,1.25813e-10,2785000,2785000
0003-3003,[0- 0- 0- 3- 0- 0- 0- 0- 0- 3- 0- 0- 3],[0- 0- 0- 1690000- 0- 0- 0- 0- 0- 2314000- 0- 0- 2314000],[0- 0- 0- 3- 3- 0- 0- 3],[0- 0- 0- 1690000- 2314000- 0- 0- 2314000],87.49960673170698,2499.526214157805,8.66428e+11,1.00989e-10,2765500,2710500
1111-1100,[1- 1- 1- 1- 0- 0- 0- 0- 0- 1- 1- 0- 0],[598000- 598000- 598000- 598000- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[1- 1- 1- 1- 1- 1- 0- 0],[598000- 598000- 598000- 598000- 741000- 741000- 0- 0],49.45955881316033,1458.4899322650022,4.12867e+11,1.19795e-10,2758000,2758000
1011-1101,[1- 0- 1- 1- 0- 0- 0- 0- 0- 1- 1- 0- 1],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 741000- 741000- 0- 741000],[1- 0- 1- 1- 1- 1- 0- 1],[598000- 0- 598000- 598000- 741000- 741000- 0- 741000],54.67376347937069,1612.397182076529,4.93964e+11,1.10684e-10,2756000,2756000
1001-2202,[1- 0- 0- 1- 0- 0- 0- 0- 0- 2- 2- 0- 2],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 1469000],[1- 0- 0- 1- 2- 2- 0- 2],[598000- 0- 0- 598000- 1469000- 1469000- 0- 1469000],88.57472430198135,2525.95974594875,8.75235e+11,1.01201e-10,2747500,2747000
0000-0030,[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0],[0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[0- 0- 0- 0- 0- 0- 3- 0],[0- 0- 0- 0- 0- 0- 2314000- 0],39.26394183866719,1170.3870217538777,1.19105e+11,3.29658e-10,2745500,2745500
0101-3333,[0- 1- 0- 1- 0- 0- 0- 0- 0- 3- 3- 3- 3],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 2314000],[0- 1- 0- 1- 3- 3- 3- 3],[0- 598000- 0- 598000- 2314000- 2314000- 2314000- 2314000],89.94065531163774,2559.7452072858105,1.35057e+12,6.65946e-11,2715000,2651000
2222-0111,[2- 2- 2- 2- 0- 0- 0- 0- 0- 0- 1- 1- 1],[1248000- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000],[2- 2- 2- 2- 0- 1- 1- 1],[1248000- 1248000- 1248000- 1248000- 0- 741000- 741000- 741000],64.34152865518574,1877.2468684940552,7.33441e+11,8.77256e-11,2729500,2730000
3033-2200,[3- 0- 3- 3- 0- 0- 0- 0- 0- 2- 2- 0- 0],[1690000- 0- 1690000- 1690000- 0- 0- 0- 0- 0- 1469000- 1469000- 0- 0],[3- 0- 3- 3- 2- 2- 0- 0],[1690000- 0- 1690000- 1690000- 1469000- 1469000- 0- 0],71.246828923219,2065.6261309968213,6.33386e+11,1.12486e-10,2727500,2727500
0110-0030,[0- 1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 3- 0],[0- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000- 0],[0- 1- 1- 0- 0- 0- 3- 0],[0- 598000- 598000- 0- 0- 0- 2314000- 0],40.027976297092216,1194.787355083085,1.91245e+11,2.09302e-10,2725000,2725000
3030-2220,[3- 0- 3- 0- 0- 0- 0- 0- 0- 2- 2- 2- 0],[1690000- 0- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 0],[3- 0- 3- 0- 2- 2- 2- 0],[1690000- 0- 1690000- 0- 1469000- 1469000- 1469000- 0],52.97780954617641,1564.117493669466,4.44543e+11,1.19174e-10,2723500,2723500
1011-0333,[1- 0- 1- 1- 0- 0- 0- 0- 0- 0- 3- 3- 3],[598000- 0- 598000- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000],[1- 0- 1- 1- 0- 3- 3- 3],[598000- 0- 598000- 598000- 0- 2314000- 2314000- 2314000],85.47780085204403,2445.618197429747,9.35577e+11,9.13637e-11,2694500,2673500
3330-0200,[3- 3- 3- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[3- 3- 3- 0- 0- 2- 0- 0],[1690000- 1690000- 1690000- 0- 0- 1469000- 0- 0],40.88317727138946,1216.6170800451214,2.16805e+11,1.88571e-10,2702500,2702500
1110-0222,[1- 1- 1- 0- 0- 0- 0- 0- 0- 0- 2- 2- 2],[598000- 598000- 598000- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000],[1- 1- 1- 0- 0- 2- 2- 2],[598000- 598000- 598000- 0- 0- 1469000- 1469000- 1469000],88.3169358027557,2522.013475682132,8.68873e+11,1.01645e-10,2698500,2697500
0333-0220,[0- 3- 3- 3- 0- 0- 0- 0- 0- 0- 2- 2- 0],[0- 1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 1469000- 1469000- 0],[0- 3- 3- 3- 0- 2- 2- 0],[0- 1690000- 1690000- 1690000- 0- 1469000- 1469000- 0],71.04366612020605,2064.2478696426315,6.34013e+11,1.12054e-10,2695000,2695000
0300-0022,[0- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2- 2],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 1469000],[0- 3- 0- 0- 0- 0- 2- 2],[0- 1690000- 0- 0- 0- 0- 1469000- 1469000],69.69960390619401,2016.894529452266,5.37819e+11,1.29597e-10,2693500,2693500
0200-1000,[0- 2- 0- 0- 0- 0- 0- 0- 0- 1- 0- 0- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 741000- 0- 0- 0],[0- 2- 0- 0- 1- 0- 0- 0],[0- 1248000- 0- 0- 741000- 0- 0- 0],40.16997783721252,1191.8319544535834,1.50752e+11,2.66464e-10,2692500,2692500
3303-1100,[3- 3- 0- 3- 0- 0- 0- 0- 0- 1- 1- 0- 0],[1690000- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[3- 3- 0- 3- 1- 1- 0- 0],[1690000- 1690000- 0- 1690000- 741000- 741000- 0- 0],71.0164667470753,2050.810964703413,6.3063e+11,1.12612e-10,2690500,2690500
2002-3030,[2- 0- 0- 2- 0- 0- 0- 0- 0- 3- 0- 3- 0],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 2314000- 0- 2314000- 0],[2- 0- 0- 2- 3- 0- 3- 0],[1248000- 0- 0- 1248000- 2314000- 0- 2314000- 0],52.017199259024125,1533.76155318126,4.33025e+11,1.20125e-10,2689000,2689000
2200-3300,[2- 2- 0- 0- 0- 0- 0- 0- 0- 3- 3- 0- 0],[1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[2- 2- 0- 0- 3- 3- 0- 0],[1248000- 1248000- 0- 0- 2314000- 2314000- 0- 0],46.46353622704878,1380.6165168133239,3.14758e+11,1.47617e-10,2687500,2687500
1001-0003,[1- 0- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 3],[598000- 0- 0- 598000- 0- 0- 0- 0- 0- 0- 0- 0- 2314000],[1- 0- 0- 1- 0- 0- 0- 3],[598000- 0- 0- 598000- 0- 0- 0- 2314000],90.1964026273267,2570.5626670420943,4.89574e+11,1.84234e-10,2680000,2669500
0303-2222,[0- 3- 0- 3- 0- 0- 0- 0- 0- 2- 2- 2- 2],[0- 1690000- 0- 1690000- 0- 0- 0- 0- 0- 1469000- 1469000- 1469000- 1469000],[0- 3- 0- 3- 2- 2- 2- 2],[0- 1690000- 0- 1690000- 1469000- 1469000- 1469000- 1469000],90.12452949658048,2567.995150277576,1.26835e+12,7.10565e-11,2669000,2636000
0110-3300,[0- 1- 1- 0- 0- 0- 0- 0- 0- 3- 3- 0- 0],[0- 598000- 598000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 0],[0- 1- 1- 0- 3- 3- 0- 0],[0- 598000- 598000- 0- 2314000- 2314000- 0- 0],46.92549544376696,1389.6575536972193,3.12729e+11,1.50052e-10,2649500,2649500
0200-0200,[0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0],[0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0],[0- 2- 0- 0- 0- 2- 0- 0],[0- 1248000- 0- 0- 0- 1469000- 0- 0],39.476175191557,1188.2312034370195,1.50436e+11,2.62412e-10,2648500,2648500
0220-0002,[0- 2- 2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 2],[0- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 1469000],[0- 2- 2- 0- 0- 0- 0- 2],[0- 1248000- 1248000- 0- 0- 0- 0- 1469000],51.88633661989063,1526.8249455986238,3.14514e+11,1.64973e-10,2647000,2647000
2222-1100,[2- 2- 2- 2- 0- 0- 0- 0- 0- 1- 1- 0- 0],[1248000- 1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 0- 0],[2- 2- 2- 2- 1- 1- 0- 0],[1248000- 1248000- 1248000- 1248000- 741000- 741000- 0- 0],57.954261167264924,1710.2452697741726,6.16505e+11,9.40045e-11,2645500,2645500
0101-0300,[0- 1- 0- 1- 0- 0- 0- 0- 0- 0- 3- 0- 0],[0- 598000- 0- 598000- 0- 0- 0- 0- 0- 0- 2314000- 0- 0],[0- 1- 0- 1- 0- 3- 0- 0],[0- 598000- 0- 598000- 0- 2314000- 0- 0],40.93925053814022,1215.520525084522,1.98319e+11,2.06431e-10,2644000,2644000
2220-1110,[2- 2- 2- 0- 0- 0- 0- 0- 0- 1- 1- 1- 0],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 741000- 0],[2- 2- 2- 0- 1- 1- 1- 0],[1248000- 1248000- 1248000- 0- 741000- 741000- 741000- 0],56.210044039259174,1654.073691671038,5.58316e+11,1.00678e-10,2642500,2642500
3300-2022,[3- 3- 0- 0- 0- 0- 0- 0- 0- 2- 0- 2- 2],[1690000- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 1469000- 1469000],[3- 3- 0- 0- 2- 0- 2- 2],[1690000- 1690000- 0- 0- 1469000- 0- 1469000- 1469000],87.48550690724736,2499.801462201706,8.40884e+11,1.0404e-10,2638500,2638000
0022-1111,[0- 0- 2- 2- 0- 0- 0- 0- 0- 1- 1- 1- 1],[0- 0- 1248000- 1248000- 0- 0- 0- 0- 0- 741000- 741000- 741000- 741000],[0- 0- 2- 2- 1- 1- 1- 1],[0- 0- 1248000- 1248000- 741000- 741000- 741000- 741000],64.9153226658711,1895.0012840603683,6.91363e+11,9.38947e-11,2636000,2636000
2002-0110,[2- 0- 0- 2- 0- 0- 0- 0- 0- 0- 1- 1- 0],[1248000- 0- 0- 1248000- 0- 0- 0- 0- 0- 0- 741000- 741000- 0],[2- 0- 0- 2- 0- 1- 1- 0],[1248000- 0- 0- 1248000- 0- 741000- 741000- 0],52.45761941507758,1540.4050823008388,4.34069e+11,1.20851e-10,2634500,2634500
2220-3303,[2- 2- 2- 0- 0- 0- 0- 0- 0- 3- 3- 0- 3],[1248000- 1248000- 1248000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[2- 2- 2- 0- 3- 3- 0- 3],[1248000- 1248000- 1248000- 0- 2314000- 2314000- 0- 2314000],90.50830553983312,2577.1005994779453,1.23484e+12,7.32956e-11,2605000,2529000
2020-0020,[2- 0- 2- 0- 0- 0- 0- 0- 0- 0- 0- 2- 0],[1248000- 0- 1248000- 0- 0- 0- 0- 0- 0- 0- 0- 1469000- 0],[2- 0- 2- 0- 0- 0- 2- 0],[1248000- 0- 1248000- 0- 0- 0- 1469000- 0],40.23565037413714,1198.1922838022635,1.86857e+11,2.15329e-10,2626000,2626000
0030-3333,[0- 0- 3- 0- 0- 0- 0- 0- 0- 3- 3- 3- 3],[0- 0- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 2314000- 2314000],[0- 0- 3- 0- 3- 3- 3- 3],[0- 0- 1690000- 0- 2314000- 2314000- 2314000- 2314000],89.38727818699807,2548.9459515466438,1.37996e+12,6.47753e-11,2594000,2518000
3330-3303,[3- 3- 3- 0- 0- 0- 0- 0- 0- 3- 3- 0- 3],[1690000- 1690000- 1690000- 0- 0- 0- 0- 0- 0- 2314000- 2314000- 0- 2314000],[3- 3- 3- 0- 3- 3- 0- 3],[1690000- 1690000- 1690000- 0- 2314000- 2314000- 0- 2314000],90.08229989718329,2568.3120709826953,1.23307e+12,7.30553e-11,2574500,2499000
0300-2002,[0- 3- 0- 0- 0- 0- 0- 0- 0- 2- 0- 0- 2],[0- 1690000- 0- 0- 0- 0- 0- 0- 0- 1469000- 0- 0- 1469000],[0- 3- 0- 0- 2- 0- 0- 2],[0- 1690000- 0- 0- 1469000- 0- 0- 1469000],70.20282941232159,2033.575825841837,5.35401e+11,1.31122e-10,2577500,2578000
